機關名稱,標案案號,標案名稱,決標方式,採購金額,預算金額,標的分類,招標方式,採購金額級距,決標日期
臺北市立交響樂團,10804,「50週年演出系列活動」企劃暨執行委託服務案,最有利標,3100000,3000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/4
臺北市政府,1080101P0004,108年度救助器材車1輛採購案,最有利標,24000000,12000000,財物類,公開招標,公告金額以上未達查核金額,2019/2/1
臺北市政府工務局水利工程處,H108010,108年度第一分區管理中心及其他抽水站自動化監控系統維護案,最有利標,8334150,3434150,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北市政府捷運工程局,108M03,捷運開發大樓公有不動產委託租賃服務案,最有利標,12494152,12494152,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/2/21
臺北市市場處,108W06,108年度市場土建及設備委外維修零星維護預約式契約,最低標,9600000,4800000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/11
臺北市政府工務局大地工程處,GEO1084057,108年度臺北市土石流潛勢溪流巡勘及防災教育宣導委託技術服務案,最有利標,4528000,4528000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/14
臺北市政府工務局大地工程處,GEO1084024,108年度臺北市溪溝水土保持水文觀測調查作業委託專業服務案,最有利標,2000000,2000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/13
臺北翡翠水庫管理局,FL108010,無線電水文氣象測報系統維護,最有利標,6686196,2228732,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/18
臺北市立聯合醫院,1081FA31001,108至109年度仁愛院區廚房、精神科照顧中心、南棟門診、污水處理場整修工程委託技術服務案,最有利標,3844262,3844262,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/12
臺北市家庭暴力暨性侵害防治中心,10731001,未成年子女監督會面交往與交付服務方案,最有利標,26398938,13074530,勞務類,限制性招標(經公開評選或公開徵求),巨額,2019/1/22
臺北市都市更新處,108011,108年度「士林地區自主更新工作站」委託專業服務案,最有利標,3700000,3700000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北市市場處,108W22,108年度市集特色專欄案,最有利標,840000,840000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/4
臺北市政府交通局,108008,108年度資訊設備維護案,最有利標,999100,931600,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/14
臺北市和平實驗國民小學,108-24,108年度工友業務外包勞務採購案,最有利標,2592000,864000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/2
臺北市政府工務局水利工程處,H108011,108年度河川及河濱公園設施新建、河川疏浚、排水及人孔改善等工程委託監造工作,最有利標,12861000,12861000,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/2/27
臺北市立聯合醫院,Z10704,108-109年度生藥藥品招標案,最低標,3785313,15039906,財物類,公開招標,公告金額以上未達查核金額,2019/1/14
臺北市政府工務局衛生下水道工程處,107002021,107年迪化廠廠區喬木褐根病處理防治,最低標,597963,597963,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市市場處,108W23,108年農漁畜花卉四家公司市府股權代表法律及會計諮詢服務,最有利標,700000,600000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/21
臺北市政府工務局衛生下水道工程處,107002019,108年內湖污水處理廠暨運動公園清潔及維護工作,最低標,7116000,5900000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北市立天文科學教育館,108A03,108年度立體電影放映機氙氣(Xe)燈泡採購案,最低標,600000,600000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/7
臺北市立民生國民中學,1071231,108年度臺北市國中第2代校務行政系統維護服務案,最有利標,12600000,4200000,勞務類,限制性招標(經公開評選或公開徵求),查核金額以上未達巨額,2019/1/9
臺北市立中正國民中學,10712,107年度資訊科技教室整修工程,最低標,1415920,1415920,工程類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北市職能發展學院,S108006,108年就安基金委外職能培育案-商業類,最有利標,1300000,4430000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/8
臺北市職能發展學院,S108007,108年就安基金委外職能培育案-設計類,最有利標,1200000,4650000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/4
臺北市大同區日新國民小學,10726,107學年度第2學期課後照顧暨課後學藝服務勞務採購案,最有利標,2221914,2221914,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/4
臺北市政府都市發展局,1071210W,108年度西區管理站轄管(西寧辦公室等)出租國宅建物一般設(施)備預約維修勞務採購,最低標,4990000,4850000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/8
臺北市中山區公所,10806,臺北市中山區公所10樓大禮堂整修工程委託設計監造案,最有利標,299481,299481,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市立信義國民中學,XY10731,107學年度7年級校外教學參觀旅行活動,最有利標,310200,310200,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/3
臺北市立聯合醫院,F107031,國產水果(107)一批,最低標,12810957,8540638,財物類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北市立南湖高級中學,Nhush10729-4,107學年度第2學期華興版本教科書採購,最低標,101650,101650,財物類,限制性招標(經公開評選或公開徵求),未達公告金額,2019/1/3
臺北市立復興高級中學,A10804,108年事務工友業務外包勞務採購,最有利標,846000,414000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/4
臺北大眾捷運股份有限公司,C07A07843,油脂密封採購,最低標,680100,預算金額不公開,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/2
臺北市職能發展學院,S108004,108年低壓電力控制教學設備汰換場地設置採購案,最低標,591000,591000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/3
臺北市文山區武功國民小學,WU108001,108年度樂學、樂美及樂善樓樓梯整修工程委託設計監造技術服務,最有利標,169760,169760,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市立聯合醫院,107CF40,磁振造影掃描儀(MRI)冷頭採購案,最低標,9900000,4950000,財物類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/3
臺北市政府,1080101S0002,108年度垃圾及灰燼吊車機電設備維護操作作業,最低標,11650000,10000000,勞務類,公開招標,查核金額以上未達巨額,2019/1/4
臺北市政府體育局,tms108038,108年度臺北市政府體育局轄管場館(地)綠化景觀草木維護管理勞務採購案,最低標,2088142,1927516,勞務類,公開招標,公告金額以上未達查核金額,2019/1/8
臺北市政府體育局,tms108051,「2019愛媛馬拉松參賽團機票」勞務採購案,最低標,220000,220000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/3
臺北自來水事業處,10706035H34,1000mm以下延性鑄鐵直管及400mm以下管件,最低標,48434940,40362450,財物類,公開招標,公告金額以上未達查核金額,2019/1/3
臺北市政府警察局,10846,108年度破窗尾蓋採購案,最低標,1130500,1130500,財物類,公開招標,公告金額以上未達查核金額,2019/1/16
臺北市信義區健康服務中心,108C02,108年家戶健康服務外聘訪員勞務採購,最有利標,785890,785890,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/4
臺北市政府社會局,1082037,108年社福宣導燈片設計案,最有利標,600000,600000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/1
臺北自來水事業處,10810018A07,東區A管網改善工程,最低標,49024082,49024082,工程類,公開招標,公告金額以上未達查核金額,2019/1/29
臺北自來水事業處,10810020A08,東區B管網改善工程,最低標,49013801,49013801,工程類,公開招標,公告金額以上未達查核金額,2019/2/11
臺北市政府,1071219S0215a108,108年度博愛校區環境清潔維護案,最有利標,7515968,5797532,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/13
臺北市立美術館,107EX1034,108年度美術作品國內運輸及佈卸展人力案,最低標,4982420,4982420,勞務類,公開招標,公告金額以上未達查核金額,2019/1/4
臺北市大同區蓬萊國民小學,C10802,108年度校外教學遊覽車租用勞務採購案,最有利標,312800,312800,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/8
臺北市立新興國民中學,108xing01,「教學大樓穿堂梯間鐵門更新暨走廊外牆鐵窗粉刷整修工程」委託規劃設計及監造技術服務採購,最有利標,164181,164181,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市政府,1080101P0012,108年度消石灰（氫氧化鈣）,最低標,13743825,10995060,財物類,公開招標,公告金額以上未達查核金額,2019/1/9
臺北市政府社會局,1082040,108年度福利社會季刊設計編輯(含電子書)暨印刷及配送案,最有利標,320000,320000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/31
臺北自來水事業處,1.08E+20,108年度水神社古蹟環境綠美化委外維護工作,最低標,304416,253680,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/10
臺北市立聯合醫院,1081HA31001,108至109年度和平婦幼院區廚房整修暨管線更新及加護病房整修工程委託設計服務案,最有利標,3543883,3543883,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/27
臺北大眾捷運股份有限公司,B08A00157,文湖線電聯車集電器大修工作,最低標,811642,772992,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市信義區博愛國民小學,108B001,107學年第2學期美勞材料財物採購,最有利標,636008,636008,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市中山區長春國民小學,108C01,108年度長春國小教育參訪勞務採購案,最有利標,235000,235000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市職能發展學院,S108002,108年度自辦學員實習材料採購案,最低標,612799,633116,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市停車管理工程處,1083013,108年港富、湖興、大業及莒光等4場立體停車場機械停車設備等系統維護保養,最低標,4174389,4174389,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/10
臺北市立聯合醫院,R108014,中興院區泌尿科體外震波碎石機(SONOLITH)維護保養案,最低標,5050000,4450000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/15
臺北市政府環境保護局,108m005,"108年度大型塑膠麻袋33萬8,000只",最低標,4056000,4056000,財物類,公開招標,公告金額以上未達查核金額,2019/1/11
臺北自來水事業處,1.08E+14,陽明區溫泉管線設備維修工程,最低標,15128533,12607111,工程類,公開招標,公告金額以上未達查核金額,2019/1/11
臺北市政府工務局,108004,「108年度資訊設備維護案」,最低標,450000,450000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/11
臺北市立中崙高級中學,108-01-0104,107學年度高一、高二、國七、國九校外教學參觀旅行活動,最有利標,4511600,4511600,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/17
臺北市政府工務局水利工程處,10807002040101704,108年度河濱公園路面整建預約維護工程,最低標,46724721,19724721,工程類,公開招標,公告金額以上未達查核金額,2019/1/17
臺北市立東湖國民中學,10801,107學年度七年級校外教學勞務採購,最有利標,235500,235500,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/9
臺北市文山區興華國民小學,C10803,108年度校舍消防設施改善工程暨健康中心整修工程委託技術服務採購案,最有利標,219183,219183,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/14
臺北市立成淵高級中學,C10801,108年度有機白米採購案,最低標,130000,130000,財物類,公開取得電子報價單,未達公告金額,2019/1/10
臺北市立北投國民中學,108A02,「108年C、D、F棟門片汰換工程」、「東校區走廊及天花板油漆粉刷二期工程」、「行政辦公室設施設備優質化」委託設計監造技術服務,最有利標,267953,267953,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/14
臺北市政府衛生局,F10801,因應登革熱防治之防疫物資(防蚊液及殺蟲劑)」財物採購,最低標,334000,614000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/11
臺北市教師研習中心,A10801,108年度租賃研習員固定路線專車採購案,最低標,2886000,1332000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/15
臺北市立北安國民中學,108201,107學年度八年級校外教學隔宿露營活動勞務採購,最有利標,377625,377625,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市政府工務局公園路燈工程管理處,108C015,天母公園整體改善工程委託規劃設計及監造技術服務案,最有利標,6432472,6432472,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/3/5
臺北市士林區葫蘆國民小學,10801,108年度仁愛樓屋頂防漏、走廊天花板整修與中央廚房修繕工程委託設計監造採購案,最有利標,271120,271120,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市立興雅國民中學,108002,108年度專科教室環境改善工程委託設計監造技術服務,最有利標,384293,384293,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市立聯合醫院,107AC02,屆期消內醫材乙批,最低標,14216000,6474500,財物類,公開招標,公告金額以上未達查核金額,2019/1/24
臺北市大安區幸安國民小學,10802,臺北市108年度國民小學雙語教材研編採購,最有利標,800000,800000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市士林區劍潭國民小學,10801,108年度校園電梯改善案,最低標,1301000,1301000,財物類,公開招標,公告金額以上未達查核金額,2019/1/18
臺北市政府工務局大地工程處,GEO1083018,108年度臺北市登山步道及休閒遊憩場域AED租賃案,最低標,756000,336000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市交通管制工程處,te108032,108年度交通標線工程(北),最低標,19500000,18000000,工程類,公開招標,公告金額以上未達查核金額,2019/1/24
臺北市大同區大橋國民小學,1071217,南棟陽臺補強工程第二期委託規劃設計及監造技術服務勞務採購案,最有利標,175254,175254,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市立第一女子高級中學,10801,108年度至善樓東棟及南棟鋁窗更新工程委託設計監造案,最有利標,467564,467564,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/15
臺北市政府工務局公園路燈工程管理處,108A004,108年度舊宗路、民權東路及堤頂大道等美化工程,最低標,4863055,4863055,工程類,公開招標,公告金額以上未達查核金額,2019/1/15
臺北市立萬芳高級中學,10803,科學樓屋頂防水工程委託技術服務勞務採購,最有利標,247520,247520,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市立啟智學校,108-07,行政辦公室設施設備優質化工程,最低標,330155,330155,工程類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市立萬芳高級中學,1080404,107學年度第2學期高中教科書財物採購,最低標,131808,131808,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/9
臺北市立長安國民中學,10802,「行政樓外牆整修工程」及「行政樓南側廁所整修工程」與「專科教室環境改善工程」委託技術服務採購,最有利標,550639,550639,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北自來水事業處工程總隊,10656003F09-2cco,臺北市東區防災地下水井工程第2次修正契約新增項目(變更),最低標,293000,293000,工程類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/10
臺北大眾捷運股份有限公司,C07A07205,伸縮支架採購,最低標,399000,399000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市萬華區公所,10809,日祥區民活動中心整修工程,最低標,4508092,4508092,工程類,公開招標,公告金額以上未達查核金額,2019/1/22
臺北市北投區桃源國民小學,108305,108年度中央廚房設施設備整修工程委託技術服務,最有利標,155565,155565,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/18
臺北市政府體育局,tms107021-3,107年度本局轄管運動草坪維護保養勞務採購案-後擴加帳,最低標,215126,215126,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/2
臺北市立和平高級中學,10802,108年度赴日本教育旅行,最有利標,1394000,1394000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/24
臺北市立聯合醫院,R108019,108年度志工旅遊及病友暨家屬戶外活動採購案,最有利標,6921200,3441240,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/4/25
臺北市政府捷運工程局第一區工程處,FDPO10804,CZ207標臺北藝術中心興建工程保全債權委任律師服務續聘採購案,最低標,900000,900000,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/9
臺北市立弘道國民中學,10803,107學年度第2學期國際教育「海外學習體驗」活動委託專業服務勞務採購案,最有利標,989000,989000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/16
臺北市政府,1071213P0078a108,108年度救護裝備耗材採購案,最低標,6889000,6439000,財物類,公開招標,公告金額以上未達查核金額,2019/1/18
臺北市立石牌國民中學,108006,108年度自造教育及科技中心建置整修工程,最低標,1899795,1899795,工程類,公開招標,公告金額以上未達查核金額,2019/1/23
臺北市政府都市發展局,1071220W,108年度西區管理站轄管(中正等)出租國宅建物一般設(施)備預約維修勞務採購,最低標,4600000,3680000,勞務類,公開招標,公告金額以上未達查核金額,2019/1/29
臺北市立大直高級中學,108003,107學年度國七學生校外教學勞務採購,最有利標,214850,214850,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/19
臺北市士林區雨農國民小學,108-2-01,107學年度高年級課桌椅財務採購案,最有利標,594000,594000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/17
臺北市政府警察局刑事警察大隊,CID10819,108年反恐戰術訓練用M4/M16A2/MP5A5色彈套件,最低標,674000,674000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市立大安國民中學,10802,108年度內球場地坪改善工程委託技術服務採購案,最有利標,176580,176580,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/19
臺北市政府工務局公園路燈工程管理處,108A016,108年忠誠路、中山北路6~7段及承德路等道路綠美化工程,最低標,7045271,7045271,工程類,公開招標,公告金額以上未達查核金額,2019/1/25
臺北市立松山高級商業家事職業學校,108W003,108年度教學前瞻教師跨國參訪委託專業服務案,最有利標,625200,625200,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/18
臺北市政府秘書處,108001,臺北市政府秘書處108年度非線性剪輯軟體採購,最低標,369000,369000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市政府民政局,108330,「108年度宗教（祠）財團法人財務查核簽證暨輔導」勞務採購案,最有利標,840000,840000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/12
臺北市立育成高級中學,10804,107學年度高二教育旅行勞務採購,最有利標,4515700,4515700,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/30
臺北市南港區健康服務中心,NK108001,108年防疫工時人員,最有利標,324066,324066,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北大眾捷運股份有限公司,C08C00457,工作架採購,最低標,199988,199988,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市北投區清江國民小學,1080301,108年度禮堂整修工程設計監造技術服務委外勞務採購案,最有利標,236207,236207,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/19
臺北市萬華區龍山國民小學,10801,忠孝樓東廁2樓至5樓廁所整修工程暨戶外地坪整修工程委託設計監造甄選,最有利標,450938,450938,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/22
臺北市政府都市發展局,10712136SE,108年度南港一號公園出租國宅電梯全責維護保養勞務採購,最低標,1444200,1155360,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/10
臺北市立明湖國民中學,1080304,107學年度七年級校外教學活動採購案,最有利標,505870,505870,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/21
臺北市政府都市發展局,10712195SE,108年度永平出租國宅電梯全責維護保養勞務採購,最低標,212970,170376,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/11
臺北市立動物園,10721101,108年度全臺新鮮竹枝葉、竹桿、竹筍等農特產品運送作業(開口契約),最低標,902600,722180,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/8
臺北市立聯合醫院,107FK03,新增麻醉耗材3項,最低標,18000000,12808000,財物類,公開招標,公告金額以上未達查核金額,2019/1/30
臺北市立交響樂團,10811,臺北市立交響樂團「交響臺北I」專輯製作委託服務案,最有利標,264350,264350,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/29
臺北市士林區蘭雅國民小學,10805,108年度空調設備汰舊換新額外項工程採購,最低標,200475,200475,工程類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/16
臺北市立大學,C108013,亞歷山大．15種音樂資料庫,最低標,220000,220000,財物類,限制性招標(經公開評選或公開徵求),未達公告金額,2019/1/29
臺北市政府社會局,1082043,身心障礙福利服務建檔業務案,最有利標,3801000,2501000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/2/19
臺北市立陽明高級中學,108011,107學年度第2學期高中部教科書採購(康熹版),最低標,103284,103284,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/16
臺北市政府消防局,652810813,108年度山域搜救機能型義消裝備器材採購案,最低標,237000,237000,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市政府工務局大地工程處,GEO1085059,108年度臺北市山坡地邊坡暨農業環境維護預約式工程（分2項）,最有利標,74200000,74200000,工程類,公開招標,查核金額以上未達巨額,2019/3/11
臺北市職能發展學院,S108013,108年公務預算委外職能進修,最有利標,500000,4880000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/3/27
臺北市政府都市發展局,10834002,108年度「臺北市都市計畫資訊便民系統擴充案」,最有利標,600000,600000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/3/5
臺北自來水事業處工程總隊,10610001F01-2cco,106及107年度配水池耐震補強改善工程第2次修正契約新增項目(變更),最低標,973631,973631,工程類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/17
臺北市立大學,C108007,108年度微軟OVS-ES全校大量授權,最低標,1872000,1872000,財物類,公開招標,公告金額以上未達查核金額,2019/1/24
臺北市政府,1070828C0145,臺北市內湖國小新孝悌樓新建工程,最有利標,423525911,423525911,工程類,公開招標,巨額,2019/2/27
臺北市北投區桃源國民小學,108303,108年度明德樓廁所整修工程委託技術服務,最有利標,148954,148954,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/25
臺北市立建國高級中學,108201-01,107學年度第2學期教科書採購案,最低標,746350,746350,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/15
臺北市松山區民權國民小學,B108004,108年度校外教學預約式遊覽車租賃案,最有利標,966000,966000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北市北投區石牌國民小學,SP10804,108年度和平樓(1~4F男女廁)廁所整修工程委託技術服務,最有利標,397872,397872,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/23
臺北市政府都市發展局,10820114,「108年度業務交流聯誼餐會-筵席」採購案,最低標,216000,216000,勞務類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/17
臺北市政府環境保護局木柵垃圾焚化廠,L10810,108年度健康檢查案,最有利標,304134,304134,勞務類,公開取得報價單或企劃書,未達公告金額,2019/2/13
臺北市立大安高級工業職業學校,Y081080106,107學年度第2學期教科書(科友版),最低標,179333,179333,財物類,限制性招標(未經公開評選或公開徵求),未達公告金額,2019/1/15
臺北市中正區東門國民小學,108005,「躲避球場及信義樓南側地坪整修工程」委託設計監造案,最有利標,324309,324309,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/29
臺北大眾捷運股份有限公司,B07A00138-1,貓空纜車保全警衛工作(第1次契約變更),最低標,1381786,1381786,勞務類,限制性招標(未經公開評選或公開徵求),公告金額以上未達查核金額,2019/1/18
臺北市停車管理工程處,1082A005,108年度停車場交通標線材料採購案,最低標,814240,814240,財物類,公開取得報價單或企劃書,未達公告金額,2019/1/24
臺北市都市更新處,108012,108年度臺北市「都市再生團隊育成實驗」委託專業服務案,最有利標,4000000,2000000,勞務類,限制性招標(經公開評選或公開徵求),公告金額以上未達查核金額,2019/4/1
臺北市信義區信義國民小學,108-2,臺北市信義區信義國民小學108年度修建工程委託規畫設計監造勞務採購,最有利標,656000,206000,勞務類,公開取得報價單或企劃書,未達公告金額,2019/1/29
